league,season,game,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Premier League,1718,2017-08-26 Huddersfield Town-Southampton,3,Sat,2017-08-26,15:00 (11:00),Huddersfield Town,0–0,Southampton,23548,The John Smith's Stadium,Stuart Attwell,/en/matches/2b22bafa/Huddersfield-Town-Southampton-August-26-2017-Premier-League,,2b22bafa
ENG-Premier League,1718,2017-08-26 Manchester Utd-Leicester City,3,Sat,2017-08-26,17:30 (13:30),Manchester Utd,2–0,Leicester City,75021,Old Trafford,Michael Oliver,/en/matches/b841af28/Manchester-United-Leicester-City-August-26-2017-Premier-League,,b841af28
ENG-Premier League,1718,2017-08-26 Newcastle United-West Ham United,3,Sat,2017-08-26,15:00 (11:00),Newcastle United,3–0,West Ham United,52093,St. James' Park,Niel Swarbrick,/en/matches/b7de45b7/Newcastle-United-West-Ham-United-August-26-2017-Premier-League,,b7de45b7
ENG-Premier League,1718,2017-08-26 Watford-Brighton,3,Sat,2017-08-26,15:00 (11:00),Watford,0–0,Brighton,20181,Vicarage Road Stadium,Graham Scott,/en/matches/7bd57325/Watford-Brighton-and-Hove-Albion-August-26-2017-Premier-League,,7bd57325
ENG-Premier League,1718,2017-08-27 Chelsea-Everton,3,Sun,2017-08-27,13:30 (09:30),Chelsea,2–0,Everton,41382,Stamford Bridge,Jonathan Moss,/en/matches/5a276f0b/Chelsea-Everton-August-27-2017-Premier-League,,5a276f0b
ENG-Premier League,1718,2017-08-27 Liverpool-Arsenal,3,Sun,2017-08-27,16:00 (12:00),Liverpool,4–0,Arsenal,53206,Anfield,Craig Pawson,/en/matches/e4374144/Liverpool-Arsenal-August-27-2017-Premier-League,,e4374144
ENG-Premier League,1718,2017-08-27 Tottenham Hotspur-Burnley,3,Sun,2017-08-27,16:00 (12:00),Tottenham Hotspur,1–1,Burnley,67862,Wembley Stadium,Lee Mason,/en/matches/9402c6ee/Tottenham-Hotspur-Burnley-August-27-2017-Premier-League,,9402c6ee
ENG-Premier League,1718,2017-08-27 West Brom-Stoke City,3,Sun,2017-08-27,13:30 (09:30),West Brom,1–1,Stoke City,22704,The Hawthorns,Anthony Taylor,/en/matches/abccb71c/West-Bromwich-Albion-Stoke-City-August-27-2017-Premier-League,,abccb71c
ENG-Premier League,1718,2017-09-09 Arsenal-Bournemouth,4,Sat,2017-09-09,15:00 (11:00),Arsenal,3–0,Bournemouth,59262,Emirates Stadium,Anthony Taylor,/en/matches/2fab7d59/Arsenal-Bournemouth-September-9-2017-Premier-League,,2fab7d59
ENG-Premier League,1718,2017-09-09 Brighton-West Brom,4,Sat,2017-09-09,15:00 (11:00),Brighton,3–1,West Brom,30381,The American Express Community Stadium,Chris Kavanagh,/en/matches/b81fcf8d/Brighton-and-Hove-Albion-West-Bromwich-Albion-September-9-2017-Premier-League,,b81fcf8d
ENG-Premier League,1718,2017-09-09 Everton-Tottenham Hotspur,4,Sat,2017-09-09,15:00 (11:00),Everton,0–3,Tottenham Hotspur,38835,Goodison Park,Graham Scott,/en/matches/2a7d4892/Everton-Tottenham-Hotspur-September-9-2017-Premier-League,,2a7d4892
ENG-Premier League,1718,2017-09-09 Leicester City-Chelsea,4,Sat,2017-09-09,15:00 (11:00),Leicester City,1–2,Chelsea,30923,King Power Stadium,Lee Mason,/en/matches/733dcf07/Leicester-City-Chelsea-September-9-2017-Premier-League,,733dcf07
ENG-Premier League,1718,2017-09-09 Manchester City-Liverpool,4,Sat,2017-09-09,12:30 (08:30),Manchester City,5–0,Liverpool,54172,Etihad Stadium,Jonathan Moss,/en/matches/39dcce19/Manchester-City-Liverpool-September-9-2017-Premier-League,,39dcce19
ENG-Premier League,1718,2017-09-09 Southampton-Watford,4,Sat,2017-09-09,15:00 (11:00),Southampton,0–2,Watford,31435,St. Mary's Stadium,Lee Probert,/en/matches/bb0151f4/Southampton-Watford-September-9-2017-Premier-League,,bb0151f4
ENG-Premier League,1718,2017-09-09 Stoke City-Manchester Utd,4,Sat,2017-09-09,17:30 (13:30),Stoke City,2–2,Manchester Utd,29320,Bet365 Stadium,Niel Swarbrick,/en/matches/06ec2f77/Stoke-City-Manchester-United-September-9-2017-Premier-League,,06ec2f77
ENG-Premier League,1718,2017-09-10 Burnley-Crystal Palace,4,Sun,2017-09-10,13:30 (09:30),Burnley,1–0,Crystal Palace,18862,Turf Moor,Michael Oliver,/en/matches/96db0268/Burnley-Crystal-Palace-September-10-2017-Premier-League,,96db0268
ENG-Premier League,1718,2017-09-10 Swansea City-Newcastle United,4,Sun,2017-09-10,16:00 (12:00),Swansea City,0–1,Newcastle United,20872,Liberty Stadium,Mike Jones,/en/matches/d9c661eb/Swansea-City-Newcastle-United-September-10-2017-Premier-League,,d9c661eb
ENG-Premier League,1718,2017-09-11 West Ham United-Huddersfield Town,4,Mon,2017-09-11,20:00 (16:00),West Ham United,2–0,Huddersfield Town,56977,London Stadium,Kevin Friend,/en/matches/74758ffd/West-Ham-United-Huddersfield-Town-September-11-2017-Premier-League,,74758ffd
ENG-Premier League,1718,2017-09-15 Bournemouth-Brighton,5,Fri,2017-09-15,20:00 (16:00),Bournemouth,2–1,Brighton,10369,Vitality Stadium,Craig Pawson,/en/matches/00836893/Bournemouth-Brighton-and-Hove-Albion-September-15-2017-Premier-League,,00836893
ENG-Premier League,1718,2017-09-16 Crystal Palace-Southampton,5,Sat,2017-09-16,12:30 (08:30),Crystal Palace,0–1,Southampton,24199,Selhurst Park,Robert Madley,/en/matches/720202a0/Crystal-Palace-Southampton-September-16-2017-Premier-League,,720202a0
ENG-Premier League,1718,2017-09-16 Huddersfield Town-Leicester City,5,Sat,2017-09-16,15:00 (11:00),Huddersfield Town,1–1,Leicester City,24129,The John Smith's Stadium,Jonathan Moss,/en/matches/8b0b0397/Huddersfield-Town-Leicester-City-September-16-2017-Premier-League,,8b0b0397
ENG-Premier League,1718,2017-09-16 Liverpool-Burnley,5,Sat,2017-09-16,15:00 (11:00),Liverpool,1–1,Burnley,53231,Anfield,Roger East,/en/matches/ab422c29/Liverpool-Burnley-September-16-2017-Premier-League,,ab422c29
ENG-Premier League,1718,2017-09-16 Newcastle United-Stoke City,5,Sat,2017-09-16,15:00 (11:00),Newcastle United,2–1,Stoke City,51795,St. James' Park,Stuart Attwell,/en/matches/349276f6/Newcastle-United-Stoke-City-September-16-2017-Premier-League,,349276f6
ENG-Premier League,1718,2017-09-16 Tottenham Hotspur-Swansea City,5,Sat,2017-09-16,17:30 (13:30),Tottenham Hotspur,0–0,Swansea City,65366,Wembley Stadium,Mike Dean,/en/matches/bca1fa26/Tottenham-Hotspur-Swansea-City-September-16-2017-Premier-League,,bca1fa26
ENG-Premier League,1718,2017-09-16 Watford-Manchester City,5,Sat,2017-09-16,15:00 (11:00),Watford,0–6,Manchester City,20305,Vicarage Road Stadium,Anthony Taylor,/en/matches/f9dc0d8f/Watford-Manchester-City-September-16-2017-Premier-League,,f9dc0d8f
ENG-Premier League,1718,2017-09-16 West Brom-West Ham United,5,Sat,2017-09-16,15:00 (11:00),West Brom,0–0,West Ham United,24942,The Hawthorns,Paul Tierney,/en/matches/e0e9e784/West-Bromwich-Albion-West-Ham-United-September-16-2017-Premier-League,,e0e9e784
ENG-Premier League,1718,2017-09-17 Chelsea-Arsenal,5,Sun,2017-09-17,13:30 (09:30),Chelsea,0–0,Arsenal,41478,Stamford Bridge,Michael Oliver,/en/matches/b015cd93/North-West-London-Derby-Chelsea-Arsenal-September-17-2017-Premier-League,,b015cd93
ENG-Premier League,1718,2017-09-17 Manchester Utd-Everton,5,Sun,2017-09-17,16:00 (12:00),Manchester Utd,4–0,Everton,75042,Old Trafford,Andre Marriner,/en/matches/94bab527/Manchester-United-Everton-September-17-2017-Premier-League,,94bab527
ENG-Premier League,1718,2017-09-23 Burnley-Huddersfield Town,6,Sat,2017-09-23,15:00 (11:00),Burnley,0–0,Huddersfield Town,20759,Turf Moor,Chris Kavanagh,/en/matches/6481f3d3/Burnley-Huddersfield-Town-September-23-2017-Premier-League,,6481f3d3
ENG-Premier League,1718,2017-09-23 Everton-Bournemouth,6,Sat,2017-09-23,15:00 (11:00),Everton,2–1,Bournemouth,38133,Goodison Park,Martin Atkinson,/en/matches/d255555f/Everton-Bournemouth-September-23-2017-Premier-League,,d255555f
ENG-Premier League,1718,2017-09-23 Leicester City-Liverpool,6,Sat,2017-09-23,17:30 (13:30),Leicester City,2–3,Liverpool,32004,King Power Stadium,Anthony Taylor,/en/matches/4bdab275/Leicester-City-Liverpool-September-23-2017-Premier-League,,4bdab275
ENG-Premier League,1718,2017-09-23 Manchester City-Crystal Palace,6,Sat,2017-09-23,15:00 (11:00),Manchester City,5–0,Crystal Palace,53526,Etihad Stadium,Niel Swarbrick,/en/matches/63496f6c/Manchester-City-Crystal-Palace-September-23-2017-Premier-League,,63496f6c
ENG-Premier League,1718,2017-09-23 Southampton-Manchester Utd,6,Sat,2017-09-23,15:00 (11:00),Southampton,0–1,Manchester Utd,31930,St. Mary's Stadium,Craig Pawson,/en/matches/3af86414/Southampton-Manchester-United-September-23-2017-Premier-League,,3af86414
ENG-Premier League,1718,2017-09-23 Stoke City-Chelsea,6,Sat,2017-09-23,15:00 (11:00),Stoke City,0–4,Chelsea,29661,Bet365 Stadium,Mike Dean,/en/matches/3d438a3e/Stoke-City-Chelsea-September-23-2017-Premier-League,,3d438a3e
ENG-Premier League,1718,2017-09-23 Swansea City-Watford,6,Sat,2017-09-23,15:00 (11:00),Swansea City,1–2,Watford,20372,Liberty Stadium,Lee Mason,/en/matches/bb4b59af/Swansea-City-Watford-September-23-2017-Premier-League,,bb4b59af
ENG-Premier League,1718,2017-09-23 West Ham United-Tottenham Hotspur,6,Sat,2017-09-23,12:30 (08:30),West Ham United,2–3,Tottenham Hotspur,56988,London Stadium,Michael Oliver,/en/matches/8c97796b/West-Ham-United-Tottenham-Hotspur-September-23-2017-Premier-League,,8c97796b
ENG-Premier League,1718,2017-09-24 Brighton-Newcastle United,6,Sun,2017-09-24,16:00 (12:00),Brighton,1–0,Newcastle United,30468,The American Express Community Stadium,Andre Marriner,/en/matches/a7efd775/Brighton-and-Hove-Albion-Newcastle-United-September-24-2017-Premier-League,,a7efd775
ENG-Premier League,1718,2017-09-25 Arsenal-West Brom,6,Mon,2017-09-25,20:00 (16:00),Arsenal,2–0,West Brom,59134,Emirates Stadium,Robert Madley,/en/matches/b46b6153/Arsenal-West-Bromwich-Albion-September-25-2017-Premier-League,,b46b6153
ENG-Premier League,1718,2017-09-30 Bournemouth-Leicester City,7,Sat,2017-09-30,15:00 (11:00),Bournemouth,0–0,Leicester City,10444,Vitality Stadium,Graham Scott,/en/matches/c4ef65e4/Bournemouth-Leicester-City-September-30-2017-Premier-League,,c4ef65e4
ENG-Premier League,1718,2017-09-30 Chelsea-Manchester City,7,Sat,2017-09-30,17:30 (13:30),Chelsea,0–1,Manchester City,41530,Stamford Bridge,Martin Atkinson,/en/matches/9ebfd27b/Chelsea-Manchester-City-September-30-2017-Premier-League,,9ebfd27b
ENG-Premier League,1718,2017-09-30 Huddersfield Town-Tottenham Hotspur,7,Sat,2017-09-30,12:30 (08:30),Huddersfield Town,0–4,Tottenham Hotspur,24169,The John Smith's Stadium,Niel Swarbrick,/en/matches/f25c2561/Huddersfield-Town-Tottenham-Hotspur-September-30-2017-Premier-League,,f25c2561
ENG-Premier League,1718,2017-09-30 Manchester Utd-Crystal Palace,7,Sat,2017-09-30,15:00 (11:00),Manchester Utd,4–0,Crystal Palace,75118,Old Trafford,Mike Dean,/en/matches/a720cc9e/Manchester-United-Crystal-Palace-September-30-2017-Premier-League,,a720cc9e
ENG-Premier League,1718,2017-09-30 Stoke City-Southampton,7,Sat,2017-09-30,15:00 (11:00),Stoke City,2–1,Southampton,29285,Bet365 Stadium,Mike Jones,/en/matches/44cd18c0/Stoke-City-Southampton-September-30-2017-Premier-League,,44cd18c0
ENG-Premier League,1718,2017-09-30 West Brom-Watford,7,Sat,2017-09-30,15:00 (11:00),West Brom,2–2,Watford,24606,The Hawthorns,Michael Oliver,/en/matches/d96be99d/West-Bromwich-Albion-Watford-September-30-2017-Premier-League,,d96be99d
ENG-Premier League,1718,2017-09-30 West Ham United-Swansea City,7,Sat,2017-09-30,15:00 (11:00),West Ham United,1–0,Swansea City,56922,London Stadium,Roger East,/en/matches/6d059e4e/West-Ham-United-Swansea-City-September-30-2017-Premier-League,,6d059e4e
ENG-Premier League,1718,2017-10-01 Arsenal-Brighton,7,Sun,2017-10-01,12:00 (08:00),Arsenal,2–0,Brighton,59378,Emirates Stadium,Kevin Friend,/en/matches/304dc26b/Arsenal-Brighton-and-Hove-Albion-October-1-2017-Premier-League,,304dc26b
ENG-Premier League,1718,2017-10-01 Everton-Burnley,7,Sun,2017-10-01,14:15 (10:15),Everton,0–1,Burnley,38448,Goodison Park,Jonathan Moss,/en/matches/275000a3/Everton-Burnley-October-1-2017-Premier-League,,275000a3
ENG-Premier League,1718,2017-10-01 Newcastle United-Liverpool,7,Sun,2017-10-01,16:30 (12:30),Newcastle United,1–1,Liverpool,52303,St. James' Park,Craig Pawson,/en/matches/b1b3ecb9/Newcastle-United-Liverpool-October-1-2017-Premier-League,,b1b3ecb9
ENG-Premier League,1718,2017-10-14 Burnley-West Ham United,8,Sat,2017-10-14,15:00 (11:00),Burnley,1–1,West Ham United,20945,Turf Moor,Stuart Attwell,/en/matches/1cf63700/Burnley-West-Ham-United-October-14-2017-Premier-League,,1cf63700
ENG-Premier League,1718,2017-10-14 Crystal Palace-Chelsea,8,Sat,2017-10-14,15:00 (11:00),Crystal Palace,2–1,Chelsea,25480,Selhurst Park,Andre Marriner,/en/matches/70d64db2/Crystal-Palace-Chelsea-October-14-2017-Premier-League,,70d64db2
ENG-Premier League,1718,2017-10-14 Liverpool-Manchester Utd,8,Sat,2017-10-14,12:30 (08:30),Liverpool,0–0,Manchester Utd,52912,Anfield,Martin Atkinson,/en/matches/d7dce737/North-West-Derby-Liverpool-Manchester-United-October-14-2017-Premier-League,,d7dce737
ENG-Premier League,1718,2017-10-14 Manchester City-Stoke City,8,Sat,2017-10-14,15:00 (11:00),Manchester City,7–2,Stoke City,54128,Etihad Stadium,Craig Pawson,/en/matches/f81f42ed/Manchester-City-Stoke-City-October-14-2017-Premier-League,,f81f42ed
ENG-Premier League,1718,2017-10-14 Swansea City-Huddersfield Town,8,Sat,2017-10-14,15:00 (11:00),Swansea City,2–0,Huddersfield Town,20657,Liberty Stadium,Paul Tierney,/en/matches/dfe3c484/Swansea-City-Huddersfield-Town-October-14-2017-Premier-League,,dfe3c484
ENG-Premier League,1718,2017-10-14 Tottenham Hotspur-Bournemouth,8,Sat,2017-10-14,15:00 (11:00),Tottenham Hotspur,1–0,Bournemouth,73502,Wembley Stadium,Robert Madley,/en/matches/0e98ac46/Tottenham-Hotspur-Bournemouth-October-14-2017-Premier-League,,0e98ac46
ENG-Premier League,1718,2017-10-14 Watford-Arsenal,8,Sat,2017-10-14,17:30 (13:30),Watford,2–1,Arsenal,20384,Vicarage Road Stadium,Niel Swarbrick,/en/matches/f18931d9/Watford-Arsenal-October-14-2017-Premier-League,,f18931d9
ENG-Premier League,1718,2017-10-15 Brighton-Everton,8,Sun,2017-10-15,13:30 (09:30),Brighton,1–1,Everton,30565,The American Express Community Stadium,Michael Oliver,/en/matches/1585521f/Brighton-and-Hove-Albion-Everton-October-15-2017-Premier-League,,1585521f
ENG-Premier League,1718,2017-10-15 Southampton-Newcastle United,8,Sun,2017-10-15,16:00 (12:00),Southampton,2–2,Newcastle United,31437,St. Mary's Stadium,Kevin Friend,/en/matches/a479dc92/Southampton-Newcastle-United-October-15-2017-Premier-League,,a479dc92
ENG-Premier League,1718,2017-10-16 Leicester City-West Brom,8,Mon,2017-10-16,20:00 (16:00),Leicester City,1–1,West Brom,30203,King Power Stadium,Mike Dean,/en/matches/199aafa3/Leicester-City-West-Bromwich-Albion-October-16-2017-Premier-League,,199aafa3
ENG-Premier League,1718,2017-10-20 West Ham United-Brighton,9,Fri,2017-10-20,20:00 (16:00),West Ham United,0–3,Brighton,56977,London Stadium,Martin Atkinson,/en/matches/2f83e2ec/West-Ham-United-Brighton-and-Hove-Albion-October-20-2017-Premier-League,,2f83e2ec
ENG-Premier League,1718,2017-10-21 Chelsea-Watford,9,Sat,2017-10-21,12:30 (08:30),Chelsea,4–2,Watford,41467,Stamford Bridge,Jonathan Moss,/en/matches/048d192d/Chelsea-Watford-October-21-2017-Premier-League,,048d192d
ENG-Premier League,1718,2017-10-21 Huddersfield Town-Manchester Utd,9,Sat,2017-10-21,15:00 (11:00),Huddersfield Town,2–1,Manchester Utd,24426,The John Smith's Stadium,Lee Mason,/en/matches/155ed776/Huddersfield-Town-Manchester-United-October-21-2017-Premier-League,,155ed776
ENG-Premier League,1718,2017-10-21 Manchester City-Burnley,9,Sat,2017-10-21,15:00 (11:00),Manchester City,3–0,Burnley,54118,Etihad Stadium,Roger East,/en/matches/11c702a4/Manchester-City-Burnley-October-21-2017-Premier-League,,11c702a4
ENG-Premier League,1718,2017-10-21 Newcastle United-Crystal Palace,9,Sat,2017-10-21,15:00 (11:00),Newcastle United,1–0,Crystal Palace,52251,St. James' Park,Stuart Attwell,/en/matches/ab9171ec/Newcastle-United-Crystal-Palace-October-21-2017-Premier-League,,ab9171ec
ENG-Premier League,1718,2017-10-21 Southampton-West Brom,9,Sat,2017-10-21,17:30 (13:30),Southampton,1–0,West Brom,29947,St. Mary's Stadium,Graham Scott,/en/matches/424a0e74/Southampton-West-Bromwich-Albion-October-21-2017-Premier-League,,424a0e74
ENG-Premier League,1718,2017-10-21 Stoke City-Bournemouth,9,Sat,2017-10-21,15:00 (11:00),Stoke City,1–2,Bournemouth,29500,Bet365 Stadium,Lee Probert,/en/matches/7da1fc42/Stoke-City-Bournemouth-October-21-2017-Premier-League,,7da1fc42
ENG-Premier League,1718,2017-10-21 Swansea City-Leicester City,9,Sat,2017-10-21,15:00 (11:00),Swansea City,1–2,Leicester City,20521,Liberty Stadium,Michael Oliver,/en/matches/78a41b8a/Swansea-City-Leicester-City-October-21-2017-Premier-League,,78a41b8a
ENG-Premier League,1718,2017-10-22 Everton-Arsenal,9,Sun,2017-10-22,13:30 (09:30),Everton,2–5,Arsenal,39189,Goodison Park,Craig Pawson,/en/matches/73da64ff/Everton-Arsenal-October-22-2017-Premier-League,,73da64ff
ENG-Premier League,1718,2017-10-22 Tottenham Hotspur-Liverpool,9,Sun,2017-10-22,16:00 (12:00),Tottenham Hotspur,4–1,Liverpool,80827,Wembley Stadium,Andre Marriner,/en/matches/b43525f5/Tottenham-Hotspur-Liverpool-October-22-2017-Premier-League,,b43525f5
ENG-Premier League,1718,2017-10-28 Arsenal-Swansea City,10,Sat,2017-10-28,15:00 (11:00),Arsenal,2–1,Swansea City,59493,Emirates Stadium,Lee Mason,/en/matches/3424d0e6/Arsenal-Swansea-City-October-28-2017-Premier-League,,3424d0e6
ENG-Premier League,1718,2017-10-28 Bournemouth-Chelsea,10,Sat,2017-10-28,17:30 (13:30),Bournemouth,0–1,Chelsea,10998,Vitality Stadium,Craig Pawson,/en/matches/6eb8787a/Bournemouth-Chelsea-October-28-2017-Premier-League,,6eb8787a
ENG-Premier League,1718,2017-10-28 Crystal Palace-West Ham United,10,Sat,2017-10-28,15:00 (11:00),Crystal Palace,2–2,West Ham United,25242,Selhurst Park,Robert Madley,/en/matches/4ee00470/Crystal-Palace-West-Ham-United-October-28-2017-Premier-League,,4ee00470
ENG-Premier League,1718,2017-10-28 Liverpool-Huddersfield Town,10,Sat,2017-10-28,15:00 (11:00),Liverpool,3–0,Huddersfield Town,53268,Anfield,Kevin Friend,/en/matches/9e2f900f/Liverpool-Huddersfield-Town-October-28-2017-Premier-League,,9e2f900f
ENG-Premier League,1718,2017-10-28 Manchester Utd-Tottenham Hotspur,10,Sat,2017-10-28,12:30 (08:30),Manchester Utd,1–0,Tottenham Hotspur,75034,Old Trafford,Jonathan Moss,/en/matches/11f75bcb/Manchester-United-Tottenham-Hotspur-October-28-2017-Premier-League,,11f75bcb
ENG-Premier League,1718,2017-10-28 Watford-Stoke City,10,Sat,2017-10-28,15:00 (11:00),Watford,0–1,Stoke City,20087,Vicarage Road Stadium,Michael Oliver,/en/matches/7834b95f/Watford-Stoke-City-October-28-2017-Premier-League,,7834b95f
ENG-Premier League,1718,2017-10-28 West Brom-Manchester City,10,Sat,2017-10-28,15:00 (11:00),West Brom,2–3,Manchester City,24003,The Hawthorns,Mike Jones,/en/matches/fdbbce69/West-Bromwich-Albion-Manchester-City-October-28-2017-Premier-League,,fdbbce69
ENG-Premier League,1718,2017-10-29 Brighton-Southampton,10,Sun,2017-10-29,13:30 (10:30),Brighton,1–1,Southampton,30564,The American Express Community Stadium,Niel Swarbrick,/en/matches/864d3ffd/Brighton-and-Hove-Albion-Southampton-October-29-2017-Premier-League,,864d3ffd
ENG-Premier League,1718,2017-10-29 Leicester City-Everton,10,Sun,2017-10-29,16:00 (13:00),Leicester City,2–0,Everton,31891,King Power Stadium,Andre Marriner,/en/matches/f6cf8af5/Leicester-City-Everton-October-29-2017-Premier-League,,f6cf8af5
ENG-Premier League,1718,2017-10-30 Burnley-Newcastle United,10,Mon,2017-10-30,20:00 (17:00),Burnley,1–0,Newcastle United,21031,Turf Moor,Mike Dean,/en/matches/d41003f2/Burnley-Newcastle-United-October-30-2017-Premier-League,,d41003f2
ENG-Premier League,1718,2017-11-04 Huddersfield Town-West Brom,11,Sat,2017-11-04,15:00 (12:00),Huddersfield Town,1–0,West Brom,24169,The John Smith's Stadium,Roger East,/en/matches/b2cc19bf/Huddersfield-Town-West-Bromwich-Albion-November-4-2017-Premier-League,,b2cc19bf
ENG-Premier League,1718,2017-11-04 Newcastle United-Bournemouth,11,Sat,2017-11-04,15:00 (12:00),Newcastle United,0–1,Bournemouth,52237,St. James' Park,Paul Tierney,/en/matches/b2dc70f2/Newcastle-United-Bournemouth-November-4-2017-Premier-League,,b2dc70f2
ENG-Premier League,1718,2017-11-04 Southampton-Burnley,11,Sat,2017-11-04,15:00 (12:00),Southampton,0–1,Burnley,30491,St. Mary's Stadium,Lee Probert,/en/matches/2849b3bf/Southampton-Burnley-November-4-2017-Premier-League,,2849b3bf
ENG-Premier League,1718,2017-11-04 Stoke City-Leicester City,11,Sat,2017-11-04,12:30 (09:30),Stoke City,2–2,Leicester City,29602,Bet365 Stadium,Robert Madley,/en/matches/3cefdf58/Stoke-City-Leicester-City-November-4-2017-Premier-League,,3cefdf58
ENG-Premier League,1718,2017-11-04 Swansea City-Brighton,11,Sat,2017-11-04,15:00 (12:00),Swansea City,0–1,Brighton,20822,Liberty Stadium,Mike Dean,/en/matches/4282f27d/Swansea-City-Brighton-and-Hove-Albion-November-4-2017-Premier-League,,4282f27d
ENG-Premier League,1718,2017-11-04 West Ham United-Liverpool,11,Sat,2017-11-04,17:30 (14:30),West Ham United,1–4,Liverpool,56961,London Stadium,Niel Swarbrick,/en/matches/172202bc/West-Ham-United-Liverpool-November-4-2017-Premier-League,,172202bc
ENG-Premier League,1718,2017-11-05 Chelsea-Manchester Utd,11,Sun,2017-11-05,16:30 (13:30),Chelsea,1–0,Manchester Utd,41615,Stamford Bridge,Anthony Taylor,/en/matches/70104ce7/Chelsea-Manchester-United-November-5-2017-Premier-League,,70104ce7
ENG-Premier League,1718,2017-11-05 Everton-Watford,11,Sun,2017-11-05,16:30 (13:30),Everton,3–2,Watford,38609,Goodison Park,Graham Scott,/en/matches/113bc344/Everton-Watford-November-5-2017-Premier-League,,113bc344
ENG-Premier League,1718,2017-11-05 Manchester City-Arsenal,11,Sun,2017-11-05,14:15 (11:15),Manchester City,3–1,Arsenal,54286,Etihad Stadium,Michael Oliver,/en/matches/03da14dd/Manchester-City-Arsenal-November-5-2017-Premier-League,,03da14dd
ENG-Premier League,1718,2017-11-05 Tottenham Hotspur-Crystal Palace,11,Sun,2017-11-05,12:00 (09:00),Tottenham Hotspur,1–0,Crystal Palace,65270,Wembley Stadium,Kevin Friend,/en/matches/c91bcebc/Tottenham-Hotspur-Crystal-Palace-November-5-2017-Premier-League,,c91bcebc
ENG-Premier League,1718,2017-11-18 Arsenal-Tottenham Hotspur,12,Sat,2017-11-18,12:30 (09:30),Arsenal,2–0,Tottenham Hotspur,59530,Emirates Stadium,Mike Dean,/en/matches/ae345878/North-London-Derby-Arsenal-Tottenham-Hotspur-November-18-2017-Premier-League,,ae345878
ENG-Premier League,1718,2017-11-18 Bournemouth-Huddersfield Town,12,Sat,2017-11-18,15:00 (12:00),Bournemouth,4–0,Huddersfield Town,10879,Vitality Stadium,Lee Probert,/en/matches/5e8ab70a/Bournemouth-Huddersfield-Town-November-18-2017-Premier-League,,5e8ab70a
ENG-Premier League,1718,2017-11-18 Burnley-Swansea City,12,Sat,2017-11-18,15:00 (12:00),Burnley,2–0,Swansea City,18895,Turf Moor,Martin Atkinson,/en/matches/807a3956/Burnley-Swansea-City-November-18-2017-Premier-League,,807a3956
ENG-Premier League,1718,2017-11-18 Crystal Palace-Everton,12,Sat,2017-11-18,15:00 (12:00),Crystal Palace,2–2,Everton,25526,Selhurst Park,Anthony Taylor,/en/matches/a96b0eaa/Crystal-Palace-Everton-November-18-2017-Premier-League,,a96b0eaa
ENG-Premier League,1718,2017-11-18 Leicester City-Manchester City,12,Sat,2017-11-18,15:00 (12:00),Leicester City,0–2,Manchester City,31908,King Power Stadium,Graham Scott,/en/matches/fd125d0b/Leicester-City-Manchester-City-November-18-2017-Premier-League,,fd125d0b
ENG-Premier League,1718,2017-11-18 Liverpool-Southampton,12,Sat,2017-11-18,15:00 (12:00),Liverpool,3–0,Southampton,53256,Anfield,Mike Jones,/en/matches/78df644e/Liverpool-Southampton-November-18-2017-Premier-League,,78df644e
ENG-Premier League,1718,2017-11-18 Manchester Utd-Newcastle United,12,Sat,2017-11-18,17:30 (14:30),Manchester Utd,4–1,Newcastle United,75035,Old Trafford,Craig Pawson,/en/matches/a624cbc4/Manchester-United-Newcastle-United-November-18-2017-Premier-League,,a624cbc4
ENG-Premier League,1718,2017-11-18 West Brom-Chelsea,12,Sat,2017-11-18,15:00 (12:00),West Brom,0–4,Chelsea,23592,The Hawthorns,Jonathan Moss,/en/matches/499d50ec/West-Bromwich-Albion-Chelsea-November-18-2017-Premier-League,,499d50ec
ENG-Premier League,1718,2017-11-19 Watford-West Ham United,12,Sun,2017-11-19,16:00 (13:00),Watford,2–0,West Ham United,20018,Vicarage Road Stadium,Andre Marriner,/en/matches/236c48b6/Watford-West-Ham-United-November-19-2017-Premier-League,,236c48b6
ENG-Premier League,1718,2017-11-20 Brighton-Stoke City,12,Mon,2017-11-20,20:00 (17:00),Brighton,2–2,Stoke City,29676,The American Express Community Stadium,Lee Mason,/en/matches/77995c06/Brighton-and-Hove-Albion-Stoke-City-November-20-2017-Premier-League,,77995c06
ENG-Premier League,1718,2017-11-24 West Ham United-Leicester City,13,Fri,2017-11-24,20:00 (17:00),West Ham United,1–1,Leicester City,56897,London Stadium,Martin Atkinson,/en/matches/3ac99526/West-Ham-United-Leicester-City-November-24-2017-Premier-League,,3ac99526
ENG-Premier League,1718,2017-11-25 Crystal Palace-Stoke City,13,Sat,2017-11-25,15:00 (12:00),Crystal Palace,2–1,Stoke City,23723,Selhurst Park,Mike Dean,/en/matches/d6d1f3dc/Crystal-Palace-Stoke-City-November-25-2017-Premier-League,,d6d1f3dc
ENG-Premier League,1718,2017-11-25 Liverpool-Chelsea,13,Sat,2017-11-25,17:30 (14:30),Liverpool,1–1,Chelsea,53225,Anfield,Michael Oliver,/en/matches/aa480195/Liverpool-Chelsea-November-25-2017-Premier-League,,aa480195
